Risk ID,Risk Description,Initial risk,Likelihood,Likely Initial Risk,Schedule Impact?,Residual risk,Likelihood,Likely Residual Risk ,Cost of Measures
1,Client Behavior,"300,000 CHF",20%,"60,000 CHF",Yes ,"300,000 CHF",10%,"30,000 CHF","10,000 CHF"
2,Cash Flow,"300,000 CHF",10%,"30,000 CHF",No,"300,000 CHF",0%,0 CHF,0 CHF
3,Plant Rejection,"64,500,000 CHF",1%,"645,000 CHF",No,"64,500,000 CHF",1%,"322,500 CHF","300,000 CHF"
4,Contract Complexity,"7,500,000 CHF",15%,"1,125,000 CHF",Yes ,"7,500,000 CHF",10%,"750,000 CHF",0 CHF
5,Client and OWE lack for specific knowledge,"43,000,000 CHF",5%,"2,150,000 CHF",Yes ,"43,000,000 CHF",5%,"2,150,000 CHF",0 CHF
6,QA Assurance of KVI documentation,"7,500,000 CHF",25%,"1,875,000 CHF",Yes ,"7,500,000 CHF",10%,"750,000 CHF","288,000 CHF"
7,MD2 Data and relevant BP,"500,000 CHF",50%,"250,000 CHF",Yes ,"500,000 CHF",25%,"125,000 CHF",0 CHF
8,Dealy on TSD BANF Prep,"11,000,000 CHF",3%,"275,000 CHF",Yes ,"11,000,000 CHF",3%,"275,000 CHF",0 CHF
9,Client Enabling Works Delay,"2,000,000 CHF",50%,"1,000,000 CHF",Yes ,0 CHF,0%,0 CHF,0 CHF
10,Loss Prevention,"1,000,000 CHF",25%,"250,000 CHF",Yes ,"500,000 CHF",25%,"125,000 CHF","50,000 CHF"
11,Application of an amine open-art technology,"140,000,000 CHF",8%,"10,500,000 CHF",Yes ,"140,000,000 CHF",3%,"4,200,000 CHF",0 CHF
12,Tec/Comm Evaluation,"1,000,000 CHF",15%,"150,000 CHF",Yes ,"1,000,000 CHF",5%,"50,000 CHF",0 CHF
13,Adequacy of KVI Template,"10,000,000 CHF",50%,"5,000,000 CHF",Yes ,"10,000,000 CHF",25%,"2,500,000 CHF","75,000 CHF"
14,Modification in ERF,"28,000 CHF",20%,"5,600 CHF",Yes ,0 CHF,0%,0 CHF,0 CHF
15,Chemical Tank size,"10,000 CHF",50%,"5,000 CHF",No,"10,000 CHF",50%,"5,000 CHF",0 CHF
16,External Engineering Coordination,"140,000 CHF",30%,"42,000 CHF",No,"140,000 CHF",30%,"42,000 CHF",0 CHF
17,Internal Engineering Misalignment,"280,000 CHF",60%,"168,000 CHF",No,"280,000 CHF",30%,"84,000 CHF",0 CHF
18,Responsibility on Existing Structure,"12,000,000 CHF",20%,"2,400,000 CHF",No,"12,000,000 CHF",10%,"1,200,000 CHF",0 CHF
